ISO3,Location,DataId,Indicator,Value,Precision,DHS_CountryCode,CountryName,SurveyYear,SurveyId,IndicatorId,IndicatorOrder,IndicatorType,CharacteristicId,CharacteristicOrder,CharacteristicCategory,CharacteristicLabel,ByVariableId,ByVariableLabel,IsTotal,IsPreferred,SDRID,RegionId,SurveyYearLabel,SurveyType,DenominatorWeighted,DenominatorUnweighted,CILow,CIHigh,LevelRank
#country+code,#loc+name,#meta+id,#indicator+name,#indicator+value+num,#indicator+precision,,#country+name,#date+year,#survey+id,#indicator+code,,,,,,,#indicator+label+code,#indicator+label,,,,,,,,,,,
SEN,Nord et Est,95406,Malaria prevalence according to RDT,2.3,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444016,1444100,Region,Nord et Est,0,,0,1,MLPMALCRDT,SNDHS2010444016,2010-11,DHS,605,910,0.6,3.9,
SEN,Saint Louis,35079,Malaria prevalence according to RDT,1.7,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444018,1444110,Region,..Saint Louis,0,,0,1,MLPMALCRDT,SNDHS2010444018,2010-11,DHS,225,230,0,4.1,1
SEN,Louga,7482246,Malaria prevalence according to RDT,0.6,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444009,1444120,Region,..Louga,0,,0,1,MLPMALCRDT,SNDHS2010444009,2010-11,DHS,274,301,0,1.5,1
SEN,Matam,4955337,Malaria prevalence according to RDT,0,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444017,1444130,Region,..Matam,0,,0,1,MLPMALCRDT,SNDHS2010444017,2010-11,DHS,142,258,0,0,1
SEN,Ouest,6171207,Malaria prevalence according to RDT,1.5,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444001,1444200,Region,Ouest,0,,0,1,MLPMALCRDT,SNDHS2010444001,2010-11,DHS,1217,542,0.2,2.8,
SEN,Dakar,141584,Malaria prevalence according to RDT,1.8,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444002,1444210,Region,..Dakar,0,,0,1,MLPMALCRDT,SNDHS2010444002,2010-11,DHS,765,259,0,3.8,1
SEN,Thiès,67868,Malaria prevalence according to RDT,1,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444003,1444220,Region,..Thiès,0,,0,1,MLPMALCRDT,SNDHS2010444003,2010-11,DHS,452,283,0,2,1
SEN,Centre,94857,Malaria prevalence according to RDT,2.8,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444004,1444300,Region,Centre,0,,0,1,MLPMALCRDT,SNDHS2010444004,2010-11,DHS,1485,1624,1.7,3.9,
SEN,Diourbel,7416293,Malaria prevalence according to RDT,1.1,1,SN,Senegal,2010,SN2010DHS,ML_PMAL_C_RDT,125136010,I,444005,1444310,Region,..Diourbel,0,,0,1,MLPMALCRDT,SNDHS2010444005,2010-11,DHS,444,322,0,2.7,1
